Period,Stage,Ichnogenera,Feeding_behavior,Bioturbation_behavior,Stratigraphic_unit,Source,Source_doi
Ediacaran,Nama,Bergaueria,Suspension feeder,Bioirrigation,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,,Streptichnus,Specialized deposit feeder,Bioirrigation,"Cíjara Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Ediacaran,Nama,Conichnus,Suspension feeder,Bioirrigation,"Feldschuhorn Member, Urusis, Nama Group",,
Ediacaran,Vendian,Bergaueria,Suspension feeder,Bioirrigation,"Fermeuse Formation, Avalon Peninsula, Canada",,
Ediacaran,Nama,Conichnus,Suspension feeder,Bioirrigation,"Huns Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Nama,Streptichnus,Specialized deposit feeder,Bioirrigation,"Huns Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 1, Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,,Treptichnus,Specialized deposit feeder,Bioirrigation,"Member 2 (below the GSSP boundary), Chapel Island Formation, Newfoundland, Canada",,
Ediacaran,Nama,Streptichnus,Specialized deposit feeder,Bioirrigation,"Spitskop Member, Urusis Formation, Schwarzrand Subgroup, Nama Group, southern Namibia",,
Ediacaran,Vendian,Bergaueria,Suspension feeder,Bioirrigation,"Verkhovka formation, White Sea, Russia",,
Ediacaran,,Bergaueria,Suspension feeder,Bioirrigation,"Zigan Formation, Asha Group, Russia",,
Ediacaran,Nama,Arenicolites,Suspension feeder / predator,Bioirrigation,"Zuun-Arts Formation, Bayan Gol, Tsagaan Gol and Tayshir I, south-western Mongolia",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Arondegas Formation, Western and Northern Cape Provinces, South Africa",,
Ediacaran,Vendian,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Basa Formation, Asha Group, South Urals, Russia",,
Ediacaran,Vendian,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Basa Formation, Asha Group, South Urals, Russia",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Palaeophycus,Suspension feeder/predator,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Torrowangea,Non-specialized deposit feeder / predator,Biomixing,"Blueflower formation, Mackenzie Mountains",,
Ediacaran,Nama,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Bom Jardim Alogroup, Rio Grande do Sul, Brazil",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Brzegi Shale Formation, Rzeszów Group, Holy Cross Mountains, southern Poland",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Cíjara Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
Ediacaran,,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Dabis Formation, Kuibis Subgroup, Nama Group, southern Namibia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Deschilling Formation, Pele La Group, Tang chu – Wachi La area, Bhutan",,
Ediacaran,Vendian,Gordia,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,Vendian,Helminthoidichnites,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,Vendian,Helminthopsis,Non-specialized deposit feeder,Biomixing,"Ediacara Member, Rawnsley Quartize, Australia",,
Ediacaran,,Palaeophycus,Suspension feeder/predator,Biomixing,"Elkera Formation, Georgina Basin, central Australia",,
Ediacaran,,Gordia,Non-specialized deposit feeder,Biomixing,"Estenilla Formation, Domo Extremeño Group, Valdelacasa anticline, Toledo Mountains, Spain",,
